,notification_date,postcode,likely_source_of_infection,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19,locality,name,state,long,lat,Cases
1897,2020-04-04,2316.0,Local (Unknown Contact),X800,Hunter New England,16400.0,Port Stephens (A),TAYLORS BEACH,"ANNA BAY, BOAT HARBOUR, BOBS FARM, FISHERMANS BAY, ONE MILE, TAYLORS BEACH",NSW,152.083274,-32.776919,9
2518,2020-04-04,2866.0,Overseas,X850,Western NSW,11400.0,Cabonne (A),WARNECLIFFE,"AMAROO, BOOMEY, CUNDUMBUL, EUCHAREENA, GARRA, LARRAS LEE, MOLONG, THE SHADES, WARNECLIFFE",NSW,148.904531,-33.007264,3
505,2020-04-04,2065.0,Overseas,X760,Northern Sydney,14700.0,Lane Cove (A),WOLLSTONECRAFT,"CROWS NEST, CROWS NEST DC, GORE HILL, GREENWICH, NAREMBURN, ROYAL NORTH SHORE HOSPITAL, ST LEONARDS, WOLLSTONECRAFT",NSW,151.192212,-33.828361,21
1325,2020-04-04,2097.0,Local (Known Contact),X760,Northern Sydney,15990.0,Northern Beaches (A),WHEELER HEIGHTS,"COLLAROY, COLLAROY BEACH, COLLAROY PLATEAU, COLLAROY PLATEAU WEST, LONG REEF, WHEELER HEIGHTS",NSW,151.29789499999998,-33.739577000000004,13
1554,2020-04-04,2567.0,Overseas,X710,South Western Sydney,11450.0,Camden (A),SMEATON GRANGE,"CURRANS HILL, HARRINGTON PARK, MOUNT ANNAN, NARELLAN, NARELLAN DC, NARELLAN VALE, SMEATON GRANGE",NSW,150.756493,-34.055155,18
717,2020-04-04,2766.0,Overseas,X740,Western Sydney,10750.0,Blacktown (C),ROOTY HILL,"EASTERN CREEK, ROOTY HILL",NSW,150.850764,-33.810388,7
2309,2020-04-04,2282.0,Overseas,X800,Hunter New England,14650.0,Lake Macquarie (C),WARNERS BAY,"ELEEBANA, LAKELANDS, WARNERS BAY",NSW,151.651275,-32.987279,4
2345,2020-04-04,2156.0,Interstate,X740,Western Sydney,17420.0,The Hills Shire (A),KENTHURST,"ANNANGROVE, GLENHAVEN, KENTHURST",NSW,150.974528,-33.656984,3
287,2020-04-04,2040.0,Interstate,X700,Sydney,14170.0,Inner West (A),LILYFIELD,"LEICHHARDT, LILYFIELD",NSW,151.15681899999998,-33.878774,11
1130,2020-04-04,2141.0,Local (Known Contact),X740,Western Sydney,12380.0,Cumberland (A),ROOKWOOD,"BERALA, LIDCOMBE, LIDCOMBE NORTH, ROOKWOOD",NSW,151.044768,-33.872483,6
2006,2020-04-04,2190.0,Local (Unknown Contact),X710,South Western Sydney,11570.0,Canterbury-Bankstown (A),MOUNT LEWIS,"CHULLORA, GREENACRE, MOUNT LEWIS",NSW,151.05385800000002,-33.901925,3
2692,2020-04-04,2130.0,Overseas,X700,Sydney,14170.0,Inner West (A),SUMMER HILL,SUMMER HILL,NSW,151.135883,-33.892783,3
1351,2020-04-04,2104.0,Overseas,X760,Northern Sydney,15990.0,Northern Beaches (A),BAYVIEW,BAYVIEW,NSW,151.290921,-33.664921,2
2726,2020-04-04,2865.0,Overseas,X850,Western NSW,11400.0,Cabonne (A),MANILDRA,"BOCOBRA, GUMBLE, MANILDRA",NSW,148.684862,-33.213883,2
1618,2020-04-04,2101.0,Overseas,X760,Northern Sydney,15990.0,Northern Beaches (A),NORTH NARRABEEN,"ELANORA HEIGHTS, INGLESIDE, NARRABEEN, NARRABEEN PENINSULA, NORTH NARRABEEN",NSW,151.27114,-33.707117,9
1103,2020-04-04,2068.0,Overseas,X760,Northern Sydney,18250.0,Willoughby (C),WILLOUGHBY NORTH,"CASTLECRAG, MIDDLE COVE, NORTH WILLOUGHBY, WILLOUGHBY, WILLOUGHBY EAST, WILLOUGHBY NORTH",NSW,151.20271499999998,-33.800881,14
2727,2020-04-05,2179.0,Local (Known Contact),X710,South Western Sydney,14900.0,Liverpool (C),LEPPINGTON,"AUSTRAL, LEPPINGTON",NSW,150.81203100000002,-33.933109,1
2713,2020-04-05,2485.0,Local (Known Contact),X810,Northern NSW,17550.0,Tweed (A),TWEED HEADS WEST,"TWEED HEADS, TWEED HEADS WEST",NSW,153.526816,-28.184240999999997,3
2679,2020-04-05,2161.0,Local (Unknown Contact),X740,Western Sydney,12380.0,Cumberland (A),YENNORA,"GUILDFORD, GUILDFORD WEST, OLD GUILDFORD, YENNORA",NSW,150.983724,-33.858335,7
